feature,weights
acceleration-mean,1.7722140937704913
sleep-deep,0.922625914812685
acceleration-movement-events-00to06,0.868389864391298
motion-mean,0.8330713726526222
sleep-snoring,0.5270750509037979
heartrate-mean,0.50808416769287
sleep-heartrate-min,0.3659400583912398
acceleration-movement-events-12to18,0.364344111255327
acceleration-movement-events-06to12,0.3607076533834791
motion-ratio,0.36002923435732026
acceleration-movement-events-18to24,0.3599930282699352
motion-count,0.33187719992154596
motion-max-timestamp,0.31927520689045397
sleep-heartrate-mean,0.3168741395364478
sleep-duration-to-wakeup,0.298242110443051
sleep-duration-to-sleep,0.29655089715175703
step-mean,0.29446235793549097
heartrate-count,0.29366510294826764
step-max,0.2742503081884075
sleep-total,0.262781687667347
sleep-rem,0.2608348847365684
acceleration-std,0.256310256321832
motion-max,0.2526483834541733
heartrate-max,0.2458304013419479
heartrate-std,0.22355514334774162
step-max-timestamp,0.22099286868594464
acceleration-entropy,0.20221095081402313
acceleration-hours-with-data,0.19669548022668534
sleep-wakeup-count,0.19454077175306392
sleep-heartrate-max,0.1936931623540116
sleep-light,0.19014052663088482
acceleration-kurtosis,0.1623651887123601
acceleration-coefficient-of-variation,0.15772597891658574
acceleration-minutes-with-data,0.15679548373717217
step-ratio,0.15310752035637662
acceleration-movement-events-24h,0.15208826765742287
position-distance-travelled,0.1474103793585218
acceleration-intradaily-variability,0.14735032027808984
heartrate-min,0.13463572980313065
acceleration-skew,0.10812779797241405
step-count,0.10415828374241835
heartrate-hours-with-data,0.09475287324014565
acceleration-sum,0.08800167049406685
position-count,0.05523708433093181
acceleration-count,0.05473220316078305
position-duration,0.047434354604012186
