feature,mean,std,CV%
acceleration-mean,1.7722140937704913,0.6100161982886572,34.42113458147775
sleep-deep,0.922625914812685,0.42690830276735797,46.27100712362177
acceleration-movement-events-00to06,0.868389864391298,0.49334163983016033,56.81107761154842
motion-mean,0.8330713726526222,0.6576492337416261,78.9427239166284
sleep-snoring,0.5270750509037979,0.29675583781886833,56.3023875461395
heartrate-mean,0.50808416769287,0.2355989610774158,46.370065445501574
sleep-heartrate-min,0.3659400583912398,0.27247484218604767,74.45887268639362
acceleration-movement-events-12to18,0.364344111255327,0.18266312312775024,50.134781237000034
acceleration-movement-events-06to12,0.3607076533834791,0.20287224794377462,56.24284542920276
motion-ratio,0.36002923435732026,0.2604712859100196,72.34725990376332
acceleration-movement-events-18to24,0.3599930282699352,0.15447430946276297,42.91036140481388
motion-count,0.33187719992154596,0.13987667668492632,42.14711848779984
motion-max-timestamp,0.31927520689045397,0.13012060341208925,40.75499775863734
sleep-heartrate-mean,0.3168741395364478,0.17904197940350933,56.502553242567586
sleep-duration-to-wakeup,0.298242110443051,0.06526590197478105,21.883530088298347
sleep-duration-to-sleep,0.29655089715175703,0.10487856293491814,35.36612566079932
step-mean,0.29446235793549097,0.12137715323564852,41.21992165200249
heartrate-count,0.29366510294826764,0.07359669346626288,25.06143655728401
step-max,0.2742503081884075,0.04032514829371638,14.703775014908413
sleep-total,0.262781687667347,0.046676548898277874,17.762481591702578
sleep-rem,0.2608348847365684,0.037170537563924355,14.250600567276475
acceleration-std,0.256310256321832,0.16814862266688507,65.60354824652505
motion-max,0.2526483834541733,0.20092327903607485,79.52684133145043
heartrate-max,0.2458304013419479,0.06280596920017008,25.548495571468205
heartrate-std,0.22355514334774162,0.08650685624877343,38.69598120326464
step-max-timestamp,0.22099286868594464,0.20056047520524933,90.75427474099538
acceleration-entropy,0.20221095081402313,0.11427635854517666,56.51343712353075
acceleration-hours-with-data,0.19669548022668534,0.165548112169218,84.16467525254217
sleep-wakeup-count,0.19454077175306392,0.08164491253822971,41.96802130602417
sleep-heartrate-max,0.1936931623540116,0.062114401393251834,32.068453340508626
sleep-light,0.19014052663088482,0.06834963780116839,35.94690674958205
acceleration-kurtosis,0.1623651887123601,0.07516678336696869,46.29488867846621
acceleration-coefficient-of-variation,0.15772597891658574,0.06294995979509856,39.910964717099645
acceleration-minutes-with-data,0.15679548373717217,0.09326886628582459,59.484408646722365
step-ratio,0.15310752035637662,0.06831002574315374,44.61572206522171
acceleration-movement-events-24h,0.15208826765742287,0.05921131577989187,38.93220475971539
position-distance-travelled,0.1474103793585218,0.07976425490726373,54.11033826408273
acceleration-intradaily-variability,0.14735032027808984,0.07259777625351327,49.26882827027567
heartrate-min,0.13463572980313065,0.034130037568950146,25.349910918042596
acceleration-skew,0.10812779797241405,0.04648873152451235,42.99424606461765
step-count,0.10415828374241835,0.04471604661046704,42.93085965303447
heartrate-hours-with-data,0.09475287324014565,0.057025798746591694,60.18371453714455
acceleration-sum,0.08800167049406685,0.048464028480274673,55.07171421654111
position-count,0.05523708433093181,0.02356571879154861,42.662857891563654
acceleration-count,0.05473220316078305,0.02177239762411929,39.779867001077974
position-duration,0.047434354604012186,0.022710523613225158,47.87779617286964
