feature,weights
motion-mean,1.4090844380242147
motion-max,1.0135478692775577
acceleration-movement-events-00to06,0.9819975234286046
acceleration-mean,0.8696484332836814
motion-max-timestamp,0.798236647015325
motion-count,0.7728536946080717
sleep-snoring,0.7060920403909894
motion-ratio,0.6281968495910052
acceleration-movement-events-18to24,0.5669245178853307
sleep-deep,0.532049889753563
heartrate-count,0.486160930359721
sleep-duration-to-wakeup,0.48292121027118906
sleep-heartrate-mean,0.40517407696852414
step-mean,0.369916556671292
sleep-total,0.36056703576827315
acceleration-movement-events-06to12,0.35932992791013585
sleep-wakeup-count,0.34643739364875004
acceleration-movement-events-12to18,0.344959173729556
heartrate-min,0.3447624002974522
heartrate-mean,0.3162046129418855
sleep-heartrate-min,0.3054572344259418
heartrate-hours-with-data,0.27948056202723964
sleep-rem,0.27534993816251563
acceleration-entropy,0.26286898687701854
heartrate-std,0.20303262429503582
sleep-light,0.20057010078174065
acceleration-std,0.1928545647683296
step-count,0.1902264156527429
heartrate-max,0.18946899693258365
sleep-heartrate-max,0.18487588660863358
sleep-duration-to-sleep,0.16703035750448686
step-max-timestamp,0.15879578901910815
acceleration-hours-with-data,0.15247787278091357
acceleration-kurtosis,0.151721695337973
step-ratio,0.15046996857626138
acceleration-intradaily-variability,0.14894487206036128
step-max,0.14875628664727186
acceleration-movement-events-24h,0.14795400575994855
acceleration-minutes-with-data,0.1420256182052405
acceleration-coefficient-of-variation,0.12844497158983118
acceleration-sum,0.08935776510607644
position-distance-travelled,0.08934319265542745
acceleration-count,0.08252444201689824
acceleration-skew,0.07883627600626095
position-count,0.04698795207220968
position-duration,0.03484780495263869
