feature,weights
sleep-snoring,0.5265982577059847
acceleration-minutes-with-data,0.5118283691962707
step-count,0.4735384931543318
acceleration-movement-events-00to06,0.3953135136448903
acceleration-mean,0.37886583447312894
sleep-duration-to-wakeup,0.35545128684055466
sleep-deep,0.2844787520056179
heartrate-min,0.277865108636548
sleep-duration-to-sleep,0.2521582807295596
acceleration-movement-events-18to24,0.25064045654398204
acceleration-hours-with-data,0.2415859984570997
sleep-heartrate-max,0.23296131595417902
motion-ratio,0.22691906991683902
sleep-heartrate-mean,0.20420292921251423
sleep-light,0.2003367019281502
acceleration-std,0.18699366894292543
motion-max-timestamp,0.18601105390579187
motion-count,0.17647008950645018
motion-mean,0.17261905565643654
step-mean,0.17225661734269415
acceleration-coefficient-of-variation,0.13770987305521606
acceleration-movement-events-06to12,0.1376173037691047
heartrate-mean,0.13522486667214403
heartrate-count,0.12803346392383963
step-max,0.10599023910149054
sleep-rem,0.09508799821583425
step-ratio,0.09049959357076522
sleep-total,0.08952370805893406
step-max-timestamp,0.08708897862495271
heartrate-hours-with-data,0.07814932154304317
heartrate-std,0.07009979999288085
acceleration-intradaily-variability,0.06819294045960882
acceleration-movement-events-12to18,0.06535578904411092
sleep-heartrate-min,0.06333367828249108
acceleration-entropy,0.06320515234842188
heartrate-max,0.05348688983651799
sleep-wakeup-count,0.04917974782917113
acceleration-sum,0.04221485609298236
acceleration-count,0.03925283999726211
acceleration-kurtosis,0.03459276923415148
acceleration-movement-events-24h,0.030715915826401933
acceleration-skew,0.02330986904978631
position-count,0.019733810982858986
motion-max,0.015922873971193786
position-duration,0.011140290127732313
position-distance-travelled,0.007801528786377583
