iter	RMSE
0	9.795531721
1	9.238627793
2	8.497899488
3	7.998172774
4	7.420868972
5	7.005435445
6	6.529218039
7	6.131097813
8	5.891860179
9	5.560393324
10	5.286898148
11	5.140378046
12	4.909627863
13	4.725942991
14	4.557172609
15	4.4109589
16	4.291424002
17	4.242816928
18	4.157330369
19	4.115926684
20	4.046854023
21	3.987367135
22	3.957340256
23	3.934725682
24	3.897083001
25	3.874635359
26	3.855756342
27	3.830428933
28	3.812500552
29	3.804318939
30	3.797297891
31	3.783943615
32	3.77164178
33	3.763277156
34	3.758230459
35	3.748025927
36	3.744808693
37	3.737150077
38	3.729654721
39	3.727076967
40	3.722078185
41	3.718018451
42	3.712709896
43	3.709484899
44	3.706688401
45	3.704617699
46	3.701960066
47	3.700886303
48	3.700226672
49	3.699613656
50	3.698260902
51	3.696491153
52	3.69605696
53	3.694603749
54	3.693148738
55	3.692221402
56	3.690459017
57	3.68930807
58	3.688334841
59	3.687011562
60	3.685604336
61	3.684399617
62	3.683039609
63	3.682012389
64	3.681399706
65	3.681303296
66	3.680495553
67	3.680010435
68	3.679605643
69	3.679336474
70	3.678719906
71	3.678263479
72	3.678203704
73	3.677848413
74	3.677379516
75	3.6772564
76	3.677023346
77	3.676875149
78	3.676382979
79	3.676267909
80	3.676011132
81	3.675615052
82	3.675310762
83	3.675188576
84	3.67495188
85	3.674758258
86	3.674698942
87	3.67453991
88	3.674411573
89	3.674279129
90	3.674239501
91	3.67420396
92	3.67418209
93	3.674150426
94	3.674102061
95	3.674073481
96	3.674015983
97	3.67394656
98	3.673933671
99	3.67388906
100	3.673854212
101	3.673851568
102	3.673841203
103	3.673796352
104	3.673774929
105	3.673736806
106	3.673697915
107	3.673679297
108	3.673669302
109	3.673653675
110	3.673644236
111	3.673640676
112	3.673615443
113	3.67360841
114	3.673597791
115	3.673579644
116	3.673563284
117	3.673554688
118	3.673553243
119	3.673543852
120	3.673532087
121	3.673529874
122	3.67352226
123	3.673518546
124	3.673515068
125	3.673513203
126	3.673509788
127	3.673508625
128	3.673502592
129	3.673501956
130	3.673497259
131	3.673496707
132	3.673493747
133	3.673493383
134	3.6734887
135	3.673488604
136	3.67348706
137	3.673483357
138	3.673481607
139	3.673481471
140	3.673479071
141	3.673479003
142	3.673478405
143	3.673478121
144	3.673477864
145	3.673477755
146	3.673477501
147	3.673476974
148	3.673475539
149	3.67347514
150	3.673474935
151	3.673474332
152	3.673474275
153	3.673472545
154	3.673472466
155	3.673472293
156	3.673470868
157	3.673470811
158	3.673470776
159	3.67346975
160	3.673469658
161	3.673468888
162	3.673468149
163	3.673468077
164	3.673467549
165	3.673466963
166	3.673466831
167	3.673466828
168	3.673466791
169	3.673466712
170	3.673466539
171	3.673466489
172	3.673466343
173	3.673466296
174	3.673466295
175	3.673465979
176	3.673465928
177	3.673465499
178	3.673465253
179	3.673465053
180	3.673464954
181	3.67346493
182	3.673464523
183	3.673464507
184	3.673464471
185	3.673464422
186	3.673464411
187	3.673464342
188	3.673464161
189	3.67346409
190	3.673463796
191	3.673463793
192	3.673463774
193	3.673463625
194	3.673463618
195	3.673463617
196	3.673463525
197	3.673463504
198	3.673463494
199	3.673463485
200	3.673463481
201	3.673463412
202	3.673463401
203	3.673463313
204	3.673463244
205	3.673463226
206	3.673463162
207	3.673463134
208	3.673463084
209	3.673463071
210	3.673463029
211	3.673463019
212	3.673463019
213	3.673463
214	3.67346298
215	3.67346292
216	3.673462895
217	3.673462876
218	3.673462755
219	3.673462604
220	3.67346258
221	3.673462572
222	3.673462555
223	3.673462542
224	3.673462524
225	3.673462509
226	3.6734625
227	3.67346247
228	3.67346247
229	3.673462452
230	3.673462287
231	3.673462287
232	3.673462252
233	3.673462243
234	3.673462243
235	3.673462231
236	3.673462146
237	3.673462033
238	3.673462017
239	3.673462016
240	3.673462006
241	3.673461964
242	3.673461964
243	3.673461946
244	3.673461919
245	3.673461919
246	3.673461905
247	3.673461903
248	3.673461902
249	3.673461897
250	3.67346187
251	3.67346183
252	3.673461788
253	3.673461773
254	3.673461771
255	3.673461769
256	3.673461768
257	3.673461735
258	3.673461702
259	3.673461695
260	3.673461693
261	3.673461666
262	3.673461658
263	3.673461643
264	3.673461642
265	3.673461635
266	3.673461634
267	3.673461629
268	3.673461625
269	3.673461625
270	3.673461603
271	3.673461599
272	3.673461598
273	3.673461598
274	3.673461581
275	3.673461581
276	3.673461546
277	3.673461542
278	3.673461541
279	3.673461523
280	3.673461519
281	3.673461513
282	3.673461502
283	3.67346149
284	3.67346149
285	3.673461477
286	3.673461476
287	3.673461473
288	3.67346147
289	3.673461457
290	3.673461457
291	3.673461453
292	3.67346145
293	3.67346145
294	3.673461444
295	3.67346144
296	3.673461437
297	3.673461434
298	3.673461434
299	3.673461433
300	3.673461432
301	3.673461424
302	3.673461424
303	3.673461424
304	3.673461423
305	3.673461423
306	3.673461421
307	3.673461421
308	3.673461419
309	3.673461419
310	3.673461415
311	3.67346141
312	3.673461408
313	3.673461408
314	3.673461407
315	3.673461406
316	3.673461402
317	3.673461402
318	3.673461401
319	3.673461398
320	3.673461394
321	3.673461393
322	3.673461393
323	3.673461393
324	3.673461391
325	3.67346139
326	3.673461389
327	3.673461385
328	3.673461385
329	3.673461384
330	3.673461384
331	3.673461384
332	3.673461384
333	3.673461381
334	3.67346138
335	3.67346138
336	3.673461378
337	3.673461378
338	3.673461378
339	3.673461377
340	3.673461375
341	3.673461374
342	3.673461374
343	3.673461371
344	3.673461371
345	3.673461368
346	3.673461367
347	3.673461367
348	3.673461366
349	3.673461364
350	3.673461364
351	3.673461364
352	3.673461364
353	3.673461364
354	3.673461364
355	3.673461364
356	3.673461363
357	3.673461363
358	3.673461361
359	3.673461361
360	3.673461361
361	3.67346136
362	3.67346136
363	3.67346136
364	3.67346136
365	3.673461359
366	3.673461359
367	3.673461359
368	3.673461359
369	3.673461359
370	3.673461359
371	3.673461359
372	3.673461359
373	3.673461358
374	3.673461358
375	3.673461358
376	3.673461358
377	3.673461357
378	3.673461357
379	3.673461356
380	3.673461356
381	3.673461356
382	3.673461356
383	3.673461356
384	3.673461355
385	3.673461355
386	3.673461353
387	3.673461353
388	3.673461353
389	3.673461353
390	3.673461352
391	3.673461352
392	3.673461352
393	3.673461352
394	3.673461351
395	3.673461349
396	3.673461349
397	3.673461349
398	3.673461349
399	3.673461349
400	3.673461348
401	3.673461347
402	3.673461347
403	3.673461347
404	3.673461347
405	3.673461347
406	3.673461347
407	3.673461346
408	3.673461346
409	3.673461346
410	3.673461346
411	3.673461345
412	3.673461345
413	3.673461345
414	3.673461345
415	3.673461345
416	3.673461345
417	3.673461345
418	3.673461345
419	3.673461344
420	3.673461344
421	3.673461344
422	3.673461344
423	3.673461343
424	3.673461343
425	3.673461343
426	3.673461343
427	3.673461343
428	3.673461343
429	3.673461343
430	3.673461343
431	3.673461343
432	3.673461343
433	3.673461342
434	3.673461342
435	3.673461342
436	3.673461342
437	3.673461342
438	3.673461342
439	3.673461342
440	3.673461342
441	3.673461341
442	3.673461341
443	3.673461341
444	3.673461341
445	3.673461341
446	3.67346134
447	3.67346134
448	3.67346134
449	3.67346134
450	3.67346134
451	3.67346134
452	3.67346134
453	3.67346134
454	3.67346134
455	3.67346134
456	3.67346134
457	3.67346134
458	3.67346134
459	3.67346134
460	3.67346134
461	3.67346134
462	3.67346134
463	3.67346134
464	3.673461339
465	3.673461339
466	3.673461339
467	3.673461339
468	3.673461339
469	3.673461339
470	3.673461339
471	3.673461339
472	3.673461339
473	3.673461339
474	3.673461339
475	3.673461339
476	3.673461339
477	3.673461339
478	3.673461339
479	3.673461339
480	3.673461339
481	3.673461339
482	3.673461339
483	3.673461339
484	3.673461338
485	3.673461338
486	3.673461338
487	3.673461338
488	3.673461338
489	3.673461338
490	3.673461338
491	3.673461338
492	3.673461338
493	3.673461338
494	3.673461338
495	3.673461338
496	3.673461338
497	3.673461338
498	3.673461338
499	3.673461338
500	3.673461338
501	3.673461338
502	3.673461338
503	3.673461338
504	3.673461338
505	3.673461338
506	3.673461338
507	3.673461338
508	3.673461338
509	3.673461338
510	3.673461338
511	3.673461337
512	3.673461337
513	3.673461337
514	3.673461337
515	3.673461337
516	3.673461337
517	3.673461337
518	3.673461337
519	3.673461337
520	3.673461337
521	3.673461337
522	3.673461337
523	3.673461337
524	3.673461337
525	3.673461337
526	3.673461337
527	3.673461337
528	3.673461337
529	3.673461337
530	3.673461337
531	3.673461337
532	3.673461337
533	3.673461337
534	3.673461337
535	3.673461337
536	3.673461337
537	3.673461337
538	3.673461337
539	3.673461337
540	3.673461337
541	3.673461337
542	3.673461337
543	3.673461337
544	3.673461337
545	3.673461337
546	3.673461337
547	3.673461337
548	3.673461337
549	3.673461337
550	3.673461337
551	3.673461337
552	3.673461337
553	3.673461336
554	3.673461336
555	3.673461336
556	3.673461336
557	3.673461336
558	3.673461336
559	3.673461336
560	3.673461336
561	3.673461336
562	3.673461336
563	3.673461336
564	3.673461336
565	3.673461336
566	3.673461336
567	3.673461336
568	3.673461336
569	3.673461336
570	3.673461336
571	3.673461336
572	3.673461336
573	3.673461336
574	3.673461336
575	3.673461336
576	3.673461336
577	3.673461336
578	3.673461336
579	3.673461336
580	3.673461336
581	3.673461336
582	3.673461336
583	3.673461336
584	3.673461336
585	3.673461336
586	3.673461336
587	3.673461336
588	3.673461336
589	3.673461336
590	3.673461336
591	3.673461336
592	3.673461336
593	3.673461336
594	3.673461336
595	3.673461336
596	3.673461336
597	3.673461336
598	3.673461336
599	3.673461336
600	3.673461336
601	3.673461336
602	3.673461336
603	3.673461336
604	3.673461336
605	3.673461336
606	3.673461336
607	3.673461336
608	3.673461336
609	3.673461336
610	3.673461336
611	3.673461336
612	3.673461336
613	3.673461336
614	3.673461336
615	3.673461336
616	3.673461336
617	3.673461336
618	3.673461336
619	3.673461336
620	3.673461336
621	3.673461336
622	3.673461336
623	3.673461336
624	3.673461336
625	3.673461336
626	3.673461336
627	3.673461336
628	3.673461336
629	3.673461336
630	3.673461336
631	3.673461336
632	3.673461335
633	3.673461335
634	3.673461335
635	3.673461335
636	3.673461335
637	3.673461335
638	3.673461335
639	3.673461335
640	3.673461335
641	3.673461335
642	3.673461335
643	3.673461335
644	3.673461335
645	3.673461335
646	3.673461335
647	3.673461335
648	3.673461335
649	3.673461335
650	3.673461335
651	3.673461335
652	3.673461335
653	3.673461335
654	3.673461335
655	3.673461335
656	3.673461335
657	3.673461335
658	3.673461335
659	3.673461335
660	3.673461335
661	3.673461335
662	3.673461335
663	3.673461335
664	3.673461335
665	3.673461335
666	3.673461335
667	3.673461335
668	3.673461335
669	3.673461335
670	3.673461335
671	3.673461335
672	3.673461335
673	3.673461335
674	3.673461335
675	3.673461335
676	3.673461335
677	3.673461335
678	3.673461335
679	3.673461335
680	3.673461335
681	3.673461335
682	3.673461335
683	3.673461335
684	3.673461335
685	3.673461335
686	3.673461335
687	3.673461335
688	3.673461335
689	3.673461335
690	3.673461335
691	3.673461335
692	3.673461335
693	3.673461335
694	3.673461335
695	3.673461335
696	3.673461335
697	3.673461335
698	3.673461335
