iter	Passed	Remaining
0	0	141
1	0	116
2	0	110
3	0	106
4	0	102
5	0	99
6	0	99
7	0	97
8	0	96
9	0	96
10	1	94
11	1	94
12	1	93
13	1	92
14	1	92
15	1	92
16	1	91
17	1	91
18	1	91
19	1	91
20	1	91
21	2	91
22	2	91
23	2	92
24	2	93
25	2	93
26	2	93
27	2	92
28	2	92
29	2	92
30	2	92
31	3	91
32	3	91
33	3	91
34	3	91
35	3	91
36	3	91
37	3	91
38	3	90
39	3	90
40	3	90
41	3	90
42	4	90
43	4	90
44	4	90
45	4	89
46	4	89
47	4	89
48	4	89
49	4	89
50	4	90
51	4	90
52	5	91
53	5	90
54	5	90
55	5	90
56	5	90
57	5	90
58	5	90
59	5	90
60	5	90
61	5	90
62	6	89
63	6	89
64	6	89
65	6	89
66	6	89
67	6	89
68	6	89
69	6	89
70	6	89
71	6	89
72	7	89
73	7	89
74	7	89
75	7	88
76	7	88
77	7	88
78	7	88
79	7	88
80	7	88
81	7	87
82	7	87
83	8	87
84	8	87
85	8	87
86	8	87
87	8	87
88	8	87
89	8	86
90	8	86
91	8	86
92	8	86
93	8	86
94	9	86
95	9	86
96	9	86
97	9	85
98	9	85
99	9	85
100	9	85
101	9	85
102	9	85
103	9	85
104	9	84
105	10	84
106	10	84
107	10	84
108	10	84
109	10	84
110	10	84
111	10	84
112	10	83
113	10	83
114	10	83
115	10	83
116	11	83
117	11	83
118	11	83
119	11	82
120	11	82
121	11	82
122	11	82
123	11	82
124	11	82
125	11	82
126	12	82
127	12	82
128	12	82
129	12	82
130	12	82
131	12	82
132	12	82
133	12	82
134	12	82
135	12	82
136	13	82
137	13	82
138	13	82
139	13	81
140	13	81
141	13	81
142	13	81
143	13	81
144	13	81
145	13	81
146	13	81
147	14	81
148	14	80
149	14	80
150	14	80
151	14	80
152	14	80
153	14	80
154	14	80
155	14	80
156	14	79
157	14	79
158	15	79
159	15	79
160	15	79
161	15	79
162	15	79
163	15	79
164	15	79
165	15	79
166	15	78
167	15	78
168	16	78
169	16	78
170	16	78
171	16	78
172	16	78
173	16	78
174	16	78
175	16	78
176	16	78
177	16	78
178	17	78
179	17	77
180	17	77
181	17	77
182	17	77
183	17	77
184	17	77
185	17	77
186	17	77
187	17	77
188	17	77
189	18	76
190	18	76
191	18	76
192	18	76
193	18	76
194	18	76
195	18	76
196	18	76
197	18	76
198	18	76
199	19	76
200	19	76
201	19	75
202	19	75
203	19	75
204	19	75
205	19	75
206	19	75
207	19	75
208	19	75
209	19	75
210	20	75
211	20	74
212	20	74
213	20	74
214	20	74
215	20	74
216	20	74
217	20	74
218	20	74
219	20	74
220	20	73
221	21	73
222	21	73
223	21	73
224	21	73
225	21	73
226	21	73
227	21	73
228	21	73
229	21	73
230	21	72
231	22	72
232	22	72
233	22	72
234	22	72
235	22	72
236	22	72
237	22	72
238	22	72
239	22	72
240	22	71
241	22	71
242	23	71
243	23	71
244	23	71
245	23	71
246	23	71
247	23	71
248	23	71
249	23	70
250	23	70
251	23	70
252	23	70
253	24	70
254	24	70
255	24	70
256	24	70
257	24	70
258	24	70
259	24	70
260	24	69
261	24	69
262	24	69
263	24	69
264	25	69
265	25	69
266	25	69
267	25	69
268	25	69
269	25	69
270	25	69
271	25	69
272	25	68
273	25	68
274	26	68
275	26	68
276	26	68
277	26	68
278	26	68
279	26	68
280	26	68
281	26	68
282	26	67
283	26	67
284	27	67
285	27	67
286	27	67
287	27	67
288	27	67
289	27	67
290	27	67
291	27	67
292	27	66
293	27	66
294	27	66
295	28	66
296	28	66
297	28	66
298	28	66
299	28	66
300	28	66
301	28	66
302	28	66
303	28	65
304	28	65
305	28	65
306	29	65
307	29	65
308	29	65
309	29	65
310	29	65
311	29	65
312	29	65
313	29	64
314	29	64
315	29	64
316	30	64
317	30	64
318	30	64
319	30	64
320	30	64
321	30	64
322	30	64
323	30	63
324	30	63
325	30	63
326	30	63
327	31	63
328	31	63
329	31	63
330	31	63
331	31	63
332	31	63
333	31	62
334	31	62
335	31	62
336	31	62
337	31	62
338	32	62
339	32	62
340	32	62
341	32	62
342	32	62
343	32	62
344	32	61
345	32	61
346	32	61
347	32	61
348	33	61
349	33	61
350	33	61
351	33	61
352	33	61
353	33	61
354	33	60
355	33	60
356	33	60
357	33	60
358	33	60
359	34	60
360	34	60
361	34	60
362	34	60
363	34	60
364	34	59
365	34	59
366	34	59
367	34	59
368	34	59
369	34	59
370	35	59
371	35	59
372	35	59
373	35	59
374	35	59
375	35	58
376	35	58
377	35	58
378	35	58
379	35	58
380	36	58
381	36	58
382	36	58
383	36	58
384	36	58
385	36	58
386	36	57
387	36	57
388	36	57
389	36	57
390	36	57
391	37	57
392	37	57
393	37	57
394	37	57
395	37	57
396	37	57
397	37	56
398	37	56
399	37	56
400	37	56
401	38	56
402	38	56
403	38	56
404	38	56
405	38	56
406	38	56
407	38	55
408	38	55
409	38	55
410	38	55
411	39	55
412	39	55
413	39	55
414	39	55
415	39	55
416	39	55
417	39	55
418	39	55
419	39	54
420	39	54
421	39	54
422	40	54
423	40	54
424	40	54
425	40	54
426	40	54
427	40	54
428	40	54
429	40	53
430	40	53
431	40	53
432	40	53
433	41	53
434	41	53
435	41	53
436	41	53
437	41	53
438	41	53
439	41	53
440	41	52
441	41	52
442	41	52
443	42	52
444	42	52
445	42	52
446	42	52
447	42	52
448	42	52
449	42	52
450	42	51
451	42	51
452	42	51
453	42	51
454	43	51
455	43	51
456	43	51
457	43	51
458	43	51
459	43	51
460	43	50
461	43	50
462	43	50
463	43	50
464	43	50
465	44	50
466	44	50
467	44	50
468	44	50
469	44	50
470	44	49
471	44	49
472	44	49
473	44	49
474	44	49
475	44	49
476	45	49
477	45	49
478	45	49
479	45	49
480	45	48
481	45	48
482	45	48
483	45	48
484	45	48
485	45	48
486	46	48
487	46	48
488	46	48
489	46	48
490	46	48
491	46	48
492	46	47
493	46	47
494	46	47
495	46	47
496	46	47
497	47	47
498	47	47
499	47	47
500	47	47
501	47	47
502	47	46
503	47	46
504	47	46
505	47	46
506	47	46
507	48	46
508	48	46
509	48	46
510	48	46
511	48	46
512	48	46
513	48	45
514	48	45
515	48	45
516	48	45
517	48	45
518	49	45
519	49	45
520	49	45
521	49	45
522	49	45
523	49	44
524	49	44
525	49	44
526	49	44
527	49	44
528	49	44
529	50	44
530	50	44
531	50	44
532	50	44
533	50	44
534	50	43
535	50	43
536	50	43
537	50	43
538	50	43
539	51	43
540	51	43
541	51	43
542	51	43
543	51	43
544	51	42
545	51	42
546	51	42
547	51	42
548	51	42
549	51	42
550	52	42
551	52	42
552	52	42
553	52	42
554	52	42
555	52	42
556	52	41
557	52	41
558	52	41
559	53	41
560	53	41
561	53	41
562	53	41
563	53	41
564	53	41
565	53	41
566	53	40
567	53	40
568	53	40
569	53	40
570	54	40
571	54	40
572	54	40
573	54	40
574	54	40
575	54	40
576	54	40
577	54	39
578	54	39
579	54	39
580	54	39
581	55	39
582	55	39
583	55	39
584	55	39
585	55	39
586	55	39
587	55	38
588	55	38
589	55	38
590	55	38
591	56	38
592	56	38
593	56	38
594	56	38
595	56	38
596	56	38
597	56	38
598	56	37
599	56	37
600	56	37
601	56	37
602	57	37
603	57	37
604	57	37
605	57	37
606	57	37
607	57	37
608	57	36
609	57	36
610	57	36
611	57	36
612	57	36
613	58	36
614	58	36
615	58	36
616	58	36
617	58	36
618	58	36
619	58	35
620	58	35
621	58	35
622	58	35
623	59	35
624	59	35
625	59	35
626	59	35
627	59	35
628	59	35
629	59	35
630	59	34
631	59	34
632	59	34
633	60	34
634	60	34
635	60	34
636	60	34
637	60	34
638	60	34
639	60	34
640	60	33
641	60	33
642	60	33
643	60	33
644	61	33
645	61	33
646	61	33
647	61	33
648	61	33
649	61	33
650	61	33
651	61	32
652	61	32
653	61	32
654	62	32
655	62	32
656	62	32
657	62	32
658	62	32
659	62	32
660	62	32
661	62	32
662	62	31
663	62	31
664	63	31
665	63	31
666	63	31
667	63	31
668	63	31
669	63	31
670	63	31
671	63	31
672	63	31
673	64	30
674	64	30
675	64	30
676	64	30
677	64	30
678	64	30
679	64	30
680	64	30
681	64	30
682	64	30
683	65	30
684	65	29
685	65	29
686	65	29
687	65	29
688	65	29
689	65	29
690	65	29
691	65	29
692	66	29
693	66	29
694	66	29
695	66	29
696	66	28
697	66	28
698	66	28
699	66	28
700	66	28
701	67	28
702	67	28
703	67	28
704	67	28
705	67	28
706	67	27
707	67	27
708	67	27
709	67	27
710	67	27
711	68	27
712	68	27
713	68	27
714	68	27
715	68	27
716	68	27
717	68	26
718	68	26
719	68	26
720	68	26
721	68	26
722	69	26
723	69	26
724	69	26
725	69	26
726	69	26
727	69	25
728	69	25
729	69	25
730	69	25
731	69	25
732	70	25
733	70	25
734	70	25
735	70	25
736	70	25
737	70	25
738	70	24
739	70	24
740	70	24
741	70	24
742	70	24
743	71	24
744	71	24
745	71	24
746	71	24
747	71	24
748	71	23
749	71	23
750	71	23
751	71	23
752	71	23
753	72	23
754	72	23
755	72	23
756	72	23
757	72	23
758	72	23
759	72	22
760	72	22
761	72	22
762	72	22
763	73	22
764	73	22
765	73	22
766	73	22
767	73	22
768	73	22
769	73	21
770	73	21
771	73	21
772	73	21
773	74	21
774	74	21
775	74	21
776	74	21
777	74	21
778	74	21
779	74	21
780	74	20
781	74	20
782	74	20
783	74	20
784	75	20
785	75	20
786	75	20
787	75	20
788	75	20
789	75	20
790	75	19
791	75	19
792	75	19
793	75	19
794	75	19
795	76	19
796	76	19
797	76	19
798	76	19
799	76	19
800	76	19
801	76	18
802	76	18
803	76	18
804	76	18
805	77	18
806	77	18
807	77	18
808	77	18
809	77	18
810	77	18
811	77	17
812	77	17
813	77	17
814	77	17
815	77	17
816	78	17
817	78	17
818	78	17
819	78	17
820	78	17
821	78	17
822	78	16
823	78	16
824	78	16
825	78	16
826	79	16
827	79	16
828	79	16
829	79	16
830	79	16
831	79	16
832	79	15
833	79	15
834	79	15
835	79	15
836	80	15
837	80	15
838	80	15
839	80	15
840	80	15
841	80	15
842	80	15
843	80	14
844	80	14
845	80	14
846	81	14
847	81	14
848	81	14
849	81	14
850	81	14
851	81	14
852	81	14
853	81	13
854	81	13
855	81	13
856	82	13
857	82	13
858	82	13
859	82	13
860	82	13
861	82	13
862	82	13
863	82	13
864	82	12
865	82	12
866	82	12
867	83	12
868	83	12
869	83	12
870	83	12
871	83	12
872	83	12
873	83	12
874	83	11
875	83	11
876	83	11
877	84	11
878	84	11
879	84	11
880	84	11
881	84	11
882	84	11
883	84	11
884	84	11
885	84	10
886	84	10
887	84	10
888	85	10
889	85	10
890	85	10
891	85	10
892	85	10
893	85	10
894	85	10
895	85	9
896	85	9
897	86	9
898	86	9
899	86	9
900	86	9
901	86	9
902	86	9
903	86	9
904	86	9
905	86	9
906	87	8
907	87	8
908	87	8
909	87	8
910	87	8
911	87	8
912	87	8
913	87	8
914	87	8
915	87	8
916	88	7
917	88	7
918	88	7
919	88	7
920	88	7
921	88	7
922	88	7
923	88	7
924	88	7
925	88	7
926	89	7
927	89	6
928	89	6
929	89	6
930	89	6
931	89	6
932	89	6
933	89	6
934	89	6
935	89	6
936	90	6
937	90	5
938	90	5
939	90	5
940	90	5
941	90	5
942	90	5
943	90	5
944	91	5
945	91	5
946	91	5
947	91	5
948	91	4
949	91	4
950	91	4
951	91	4
952	91	4
953	91	4
954	92	4
955	92	4
956	92	4
957	92	4
958	92	3
959	92	3
960	92	3
961	92	3
962	92	3
963	93	3
964	93	3
965	93	3
966	93	3
967	93	3
968	93	2
969	93	2
970	93	2
971	93	2
972	93	2
973	94	2
974	94	2
975	94	2
976	94	2
977	94	2
978	94	2
979	94	1
980	94	1
981	94	1
982	94	1
983	95	1
984	95	1
985	95	1
986	95	1
987	95	1
988	95	1
989	95	0
990	95	0
991	95	0
992	95	0
993	96	0
994	96	0
995	96	0
996	96	0
997	96	0
998	96	0
999	96	0
