top_x,top_y,n_sensor,n_demo,n_features,ohs_item_mae,ohs_item_rmse,sis_item_mae,sis_item_rmse,ohs_total_mae,ohs_total_rmse,sis_total_mae,sis_total_rmse,mean_item_mae,epochs
14,0,20,0,20,1.0844,1.3002,0.7576,0.9484,5.8045,6.4979,2.5926,2.9461,0.921,60
13,0,19,0,19,1.153,1.3516,0.7305,0.9162,6.9445,7.7798,2.4164,2.8694,0.9418,61
23,0,30,0,30,1.0457,1.2881,0.8679,1.0793,5.233,6.2373,2.4923,3.5533,0.9568,72
28,0,35,0,35,0.9952,1.1921,0.9399,1.176,7.1953,7.8582,3.3677,4.5396,0.9675,99
18,0,25,0,25,1.1545,1.3707,0.794,0.9967,6.7804,7.8588,2.4321,2.8514,0.9743,62
11,0,17,0,17,1.0609,1.2949,0.921,1.1536,7.2567,8.7081,3.6614,4.7801,0.991,108
9,5,14,6,20,1.1605,1.3702,0.8322,1.0257,6.5784,7.5054,2.8917,3.2938,0.9964,60
6,0,10,0,10,1.2087,1.4077,0.7857,0.9545,7.8244,8.9711,2.6314,3.1749,0.9972,63
12,2,18,2,20,1.1879,1.4014,0.8073,1.0095,6.7794,7.7438,2.7366,3.1945,0.9976,60
12,1,18,2,20,1.1879,1.4014,0.8073,1.0095,6.7794,7.7438,2.7366,3.1945,0.9976,60
30,0,38,0,38,1.1322,1.3303,0.8673,1.1151,7.8315,8.365,3.1176,3.6579,0.9998,71
7,7,11,7,18,1.1876,1.3898,0.8208,0.9862,8.3456,9.3836,3.1514,3.4724,1.0042,64
7,6,11,7,18,1.1876,1.3898,0.8208,0.9862,8.3456,9.3836,3.1514,3.4724,1.0042,64
9,0,14,0,14,1.1687,1.379,0.841,1.0436,7.327,8.1861,2.7285,3.2773,1.0048,64
17,0,25,0,25,1.1558,1.3791,0.8605,1.0903,6.9383,7.668,2.1516,3.4776,1.0081,98
33,0,39,0,39,1.1903,1.3795,0.8269,1.0541,7.4798,8.6355,3.0545,3.4145,1.0086,63
10,6,15,7,22,1.2138,1.4076,0.811,0.9835,7.5697,8.9378,2.7998,3.228,1.0124,62
10,7,15,7,22,1.2138,1.4076,0.811,0.9835,7.5697,8.9378,2.7998,3.228,1.0124,62
5,0,8,0,8,1.2047,1.4309,0.8276,1.0167,7.525,8.6595,2.7562,3.2681,1.0161,66
46,0,46,0,46,1.1865,1.3879,0.8498,1.0466,9.2448,10.1226,2.4024,3.7369,1.0182,94
45,0,46,0,46,1.1865,1.3879,0.8498,1.0466,9.2448,10.1226,2.4024,3.7369,1.0182,94
44,0,45,0,45,1.1762,1.3937,0.8611,1.089,7.4594,8.0637,2.5085,3.315,1.0186,73
9,3,14,4,18,1.2437,1.4374,0.794,0.9649,9.2663,10.3417,2.7426,3.0281,1.0189,65
