top_x,top_y,n_sensor,n_demo,n_features,test_ohs_item_mae,test_ohs_item_rmse,test_sis_item_mae,test_sis_item_rmse,test_ohs_total_mae,test_ohs_total_rmse,test_sis_total_mae,test_sis_total_rmse,train_ohs_item_mae,train_ohs_item_rmse,train_sis_item_mae,train_sis_item_rmse,mean_test_item_mae,mean_train_item_mae,overfit_gap,epochs
14,0,20,0,20,1.1248,1.3334,0.7568,0.955,6.3204,7.1833,2.5904,2.9708,0.9057,1.071,0.8807,1.0832,0.9408,0.8932,0.0476,60
13,0,19,0,19,1.1298,1.3248,0.7551,0.9483,7.0138,7.8471,2.5675,2.9669,0.8988,1.0668,0.894,1.0934,0.9425,0.8964,0.046,60
18,0,25,0,25,1.1192,1.3772,0.7806,0.969,5.4129,6.5896,2.2562,2.9411,0.7597,0.9204,0.6961,0.9021,0.9499,0.7279,0.222,69
11,0,17,0,17,1.0983,1.3175,0.8222,1.0056,6.5497,7.3881,2.6725,3.4322,0.8229,0.9849,0.838,1.0256,0.9602,0.8305,0.1298,65
15,0,22,0,22,1.0864,1.3162,0.8701,1.1164,6.2124,7.2336,2.6705,3.3844,0.5929,0.7314,0.5984,0.7726,0.9782,0.5957,0.3826,92
30,0,38,0,38,1.1517,1.3487,0.8365,1.0555,7.95,8.7816,2.9049,3.4595,0.7624,0.9154,0.7289,0.9168,0.9941,0.7456,0.2485,68
45,0,46,0,46,1.1668,1.3599,0.8327,1.036,8.4149,9.2103,2.3835,3.3944,0.6027,0.7361,0.6111,0.802,0.9998,0.6069,0.3929,84
46,0,46,0,46,1.1668,1.3599,0.8327,1.036,8.4149,9.2103,2.3835,3.3944,0.6027,0.7361,0.6111,0.802,0.9998,0.6069,0.3929,84
29,0,36,0,36,1.1911,1.416,0.8093,1.0268,6.7185,7.936,2.4337,3.2107,0.7102,0.8593,0.6938,0.8664,1.0002,0.702,0.2982,69
23,0,30,0,30,1.0981,1.3178,0.9045,1.1012,6.3465,7.4685,2.6245,3.5984,0.6638,0.7991,0.5912,0.7616,1.0013,0.6275,0.3738,77
32,0,38,0,38,1.1875,1.3812,0.8401,1.0524,8.3619,9.3366,2.8366,3.5505,0.763,0.9166,0.7151,0.9035,1.0138,0.739,0.2748,68
12,2,18,2,20,1.2315,1.4442,0.7963,0.9946,7.1983,8.2787,2.6826,3.1386,0.9037,1.0708,0.8651,1.073,1.0139,0.8844,0.1295,60
