feature,mean,std,CV%
motion-mean,1.4090844380242147,0.8891562927506675,63.10170411060828
motion-max,1.0135478692775577,0.771650794576498,76.13363097754026
acceleration-movement-events-00to06,0.9819975234286046,0.6043835355623437,61.54634010197532
acceleration-mean,0.8696484332836814,0.5339346313004825,61.3966070500942
motion-max-timestamp,0.798236647015325,0.3856279387667949,48.309976773014704
motion-count,0.7728536946080717,0.5504888190380107,71.22807626832575
sleep-snoring,0.7060920403909894,0.46895079621703,66.41496708521944
motion-ratio,0.6281968495910052,0.27095572495749165,43.13229605240785
acceleration-movement-events-18to24,0.5669245178853307,0.327865229410047,57.83225439481924
sleep-deep,0.532049889753563,0.43175296787119727,81.14896294239968
heartrate-count,0.486160930359721,0.42725229860713543,87.88289472191897
sleep-duration-to-wakeup,0.48292121027118906,0.34330869970764305,71.09000234528004
sleep-heartrate-mean,0.40517407696852414,0.2857396303131133,70.5226831022832
step-mean,0.369916556671292,0.13857683703604276,37.46164764373664
sleep-total,0.36056703576827315,0.20760979386673642,57.578695019741545
acceleration-movement-events-06to12,0.35932992791013585,0.11890104119953673,33.08965715465606
sleep-wakeup-count,0.34643739364875004,0.2601261063621696,75.0860360720498
acceleration-movement-events-12to18,0.344959173729556,0.1648222054268873,47.78020646469487
heartrate-min,0.3447624002974522,0.2697402408569898,78.23946016858706
heartrate-mean,0.3162046129418855,0.10151200698854294,32.10326568107328
sleep-heartrate-min,0.3054572344259418,0.17033721208517527,55.76466781194327
heartrate-hours-with-data,0.27948056202723964,0.21416270319115127,76.62883659518255
sleep-rem,0.27534993816251563,0.2161833424943187,78.5122175573993
acceleration-entropy,0.26286898687701854,0.14236101701683357,54.15664232899265
heartrate-std,0.20303262429503582,0.060632036321423735,29.863198848928143
sleep-light,0.20057010078174065,0.09448856929860935,47.10999741752702
acceleration-std,0.1928545647683296,0.11565794726988686,59.971589165557624
step-count,0.1902264156527429,0.10818571680098032,56.872078690938835
heartrate-max,0.18946899693258365,0.04821811236646015,25.449077763164063
sleep-heartrate-max,0.18487588660863358,0.10961649895384387,59.29193956261728
sleep-duration-to-sleep,0.16703035750448686,0.03386592845838132,20.27531340072214
step-max-timestamp,0.15879578901910815,0.08402936489555661,52.91662040574969
acceleration-hours-with-data,0.15247787278091357,0.06940811449346411,45.52012251193491
acceleration-kurtosis,0.151721695337973,0.08103599804243326,53.41094947688178
step-ratio,0.15046996857626138,0.09603470520067688,63.82317090204245
acceleration-intradaily-variability,0.14894487206036128,0.09340831671709099,62.7133485194686
step-max,0.14875628664727186,0.03772919303625026,25.363091460943103
acceleration-movement-events-24h,0.14795400575994855,0.03252645956393066,21.984169605183908
acceleration-minutes-with-data,0.1420256182052405,0.04433237067085061,31.214347968396883
acceleration-coefficient-of-variation,0.12844497158983118,0.052526042052895267,40.893809545638675
acceleration-sum,0.08935776510607644,0.061635280919050184,68.97585324105079
position-distance-travelled,0.08934319265542745,0.05767880009409891,64.55869594514095
acceleration-count,0.08252444201689824,0.02219669683219602,26.89711834422447
acceleration-skew,0.07883627600626095,0.024987913296667705,31.695958462933028
position-count,0.04698795207220968,0.03309003347824533,70.42237854374575
position-duration,0.03484780495263869,0.017019954066914002,48.84082107910571
