feature,mean,std,CV%
acceleration-movement-events-00to06,0.44205892934267227,0.22865556833424622,51.72513281752952
acceleration-mean,0.41045535189173343,0.1616997660618326,39.395214440883805
sleep-snoring,0.3877532368233013,0.10406805946030141,26.83873391048573
acceleration-minutes-with-data,0.324247966571897,0.12427516605450542,38.32719981821361
acceleration-hours-with-data,0.32022272384136263,0.2097030974271537,65.4866384594992
sleep-heartrate-mean,0.29039705073537053,0.1204560055355883,41.4797620122375
step-count,0.26165124966876646,0.26531295661605375,101.3994609052786
sleep-deep,0.25411728074898454,0.13520242393549048,53.20473426167447
acceleration-movement-events-18to24,0.24498797586505366,0.06472854334746635,26.421110309152752
heartrate-mean,0.220453998667415,0.14997929939052873,68.03201588409064
sleep-duration-to-wakeup,0.20255183976709407,0.14166949410050725,69.94233884195133
motion-ratio,0.18652335098021278,0.07904116609497433,42.3760165574976
step-mean,0.17619692625302463,0.08935844140455251,50.71509662786672
sleep-light,0.17187617754273057,0.04249477387143671,24.724062682201538
sleep-heartrate-max,0.16997927884504443,0.11268641304581477,66.29420586525804
sleep-duration-to-sleep,0.16654403772942794,0.11494875333058609,69.02003511968108
acceleration-movement-events-06to12,0.16441614422083378,0.07644258329327919,46.493356023850154
heartrate-min,0.15848841107343473,0.0712517511709541,44.95707332061017
motion-max-timestamp,0.14722567143735757,0.06946139798639159,47.18022156614611
motion-count,0.14444225505331162,0.06690035386050258,46.31633162734173
motion-mean,0.13789619047315055,0.058277586929139466,42.26192669222908
acceleration-coefficient-of-variation,0.12846344774620028,0.1040577651244718,81.0018467899556
acceleration-movement-events-12to18,0.12366790923721907,0.07239533772117943,58.54011616086361
sleep-heartrate-min,0.12166145335567025,0.07427277413200392,61.04873161006202
heartrate-std,0.11376010544077657,0.08068217858296237,70.923087026291
heartrate-count,0.10696141221986107,0.049806038472796195,46.56449222119376
sleep-total,0.09856952280080086,0.031612786879049455,32.071563279184915
acceleration-std,0.09335763971243627,0.05663264728986242,60.66203844088651
heartrate-max,0.09302939623950206,0.10490774834951332,112.76838568255427
sleep-rem,0.09014746140980204,0.018477328142943214,20.496781444512326
motion-max,0.08338856738012498,0.12166845460079038,145.905438147375
acceleration-movement-events-24h,0.08199765677057524,0.09033424588468496,110.16686261832459
acceleration-kurtosis,0.07729633245756247,0.05122351502886826,66.26901096114902
step-max,0.07085942391123753,0.04660946723386655,65.7773725231695
sleep-wakeup-count,0.06794425886223762,0.03701420048778079,54.47730405423955
heartrate-hours-with-data,0.06606471251649176,0.02735019485622601,41.399097664125264
acceleration-entropy,0.06262769110962474,0.02755994770874083,44.00600951502325
acceleration-sum,0.062397283199844986,0.04387863147120665,70.32138135032721
acceleration-intradaily-variability,0.060860805237270166,0.023388992662877337,38.43030431768638
step-max-timestamp,0.06017970322287407,0.025241245481072875,41.94312056939287
acceleration-count,0.053984382677913646,0.026189496346395332,48.51309776505068
acceleration-skew,0.04944362578319232,0.024199660072713115,48.943943105684326
step-ratio,0.042736587029313856,0.029428796119634896,68.86089452919839
position-count,0.03385285682681065,0.02620999377998582,77.42328487688559
position-distance-travelled,0.02896253163492461,0.01878833061525989,64.87116130623019
position-duration,0.01376524402809783,0.011189338476969811,81.28688786141356
