feature,weights
sleep-deep,1.5825601
position-distance-travelled,0.8234272
heartrate-hours-with-data,0.55810314
sleep-snoring,0.5528145
acceleration-movement-events-18to24,0.51757765
acceleration-minutes-with-data,0.43978557
acceleration-movement-events-00to06,0.4333685
sleep-heartrate-min,0.38280773
acceleration-mean,0.3670503
sleep-duration-to-sleep,0.28765213
motion-max-timestamp,0.2831887
acceleration-count,0.27937764
step-max-timestamp,0.2686855
motion-ratio,0.21384993
heartrate-mean,0.21060303
heartrate-max,0.2037783
acceleration-std,0.17149238
acceleration-entropy,0.16387005
acceleration-sum,0.15877151
sleep-total,0.15817025
acceleration-movement-events-12to18,0.1564645
acceleration-skew,0.14228359
position-duration,0.12980491
motion-mean,0.12966105
sleep-heartrate-max,0.12626107
sleep-duration-to-wakeup,0.10672108
heartrate-count,0.10521648
acceleration-intradaily-variability,0.103335775
acceleration-movement-events-06to12,0.10321649
motion-count,0.09724436
heartrate-std,0.08341161
sleep-rem,0.08033275
position-count,0.075731434
step-count,0.07261033
step-mean,0.07089195
motion-max,0.069514476
sleep-light,0.06497085
sleep-wakeup-count,0.063431546
acceleration-kurtosis,0.06287132
step-ratio,0.058591224
acceleration-hours-with-data,0.054045063
heartrate-min,0.04680837
step-max,0.042370673
acceleration-movement-events-24h,0.04052232
sleep-heartrate-mean,0.035530884
acceleration-coefficient-of-variation,0.023496311
