feature,weights
heartrate-hours-with-data,2.2871847
motion-max-timestamp,1.6229156
motion-max,1.2098033
sleep-duration-to-wakeup,0.56625015
sleep-duration-to-sleep,0.5625769
step-ratio,0.3908023
acceleration-std,0.37094873
acceleration-mean,0.37068644
sleep-total,0.35409886
sleep-snoring,0.34551466
acceleration-movement-events-18to24,0.32402402
sleep-deep,0.2970609
motion-count,0.27710804
acceleration-entropy,0.26486045
acceleration-movement-events-00to06,0.23921207
heartrate-max,0.23597245
heartrate-count,0.23400164
step-max-timestamp,0.23023899
acceleration-movement-events-12to18,0.21469183
sleep-wakeup-count,0.21447115
acceleration-minutes-with-data,0.1901798
heartrate-std,0.18803081
acceleration-count,0.16096868
acceleration-skew,0.14676666
position-count,0.1418789
acceleration-intradaily-variability,0.13690118
acceleration-movement-events-24h,0.13400334
motion-ratio,0.1339327
acceleration-movement-events-06to12,0.114520594
acceleration-kurtosis,0.11009605
sleep-heartrate-min,0.10251548
acceleration-coefficient-of-variation,0.10086014
sleep-light,0.099077284
sleep-rem,0.09621842
position-duration,0.09183527
heartrate-mean,0.08386926
position-distance-travelled,0.083020434
step-max,0.08029076
motion-mean,0.079200774
sleep-heartrate-max,0.0706499
heartrate-min,0.06501956
acceleration-hours-with-data,0.059657037
step-count,0.052318197
step-mean,0.047280706
acceleration-sum,0.043206815
sleep-heartrate-mean,0.027740782
