feature,weights
acceleration-std,0.6145123
acceleration-hours-with-data,0.31408596
sleep-snoring,0.31147152
heartrate-max,0.27173084
sleep-rem,0.26618832
sleep-heartrate-max,0.23788877
acceleration-minutes-with-data,0.22906852
sleep-duration-to-sleep,0.22456196
acceleration-mean,0.21046689
acceleration-intradaily-variability,0.1716974
acceleration-coefficient-of-variation,0.16222203
motion-max-timestamp,0.1420488
acceleration-count,0.14035009
acceleration-movement-events-06to12,0.13665053
step-count,0.11109831
acceleration-movement-events-18to24,0.11100243
sleep-deep,0.11003039
position-distance-travelled,0.1076509
acceleration-skew,0.10469049
step-max-timestamp,0.097225025
position-count,0.090414636
sleep-duration-to-wakeup,0.08769685
acceleration-movement-events-00to06,0.084306225
sleep-heartrate-mean,0.08219321
step-max,0.07636537
acceleration-movement-events-12to18,0.07407944
acceleration-entropy,0.07248435
acceleration-kurtosis,0.065481305
heartrate-mean,0.06304909
heartrate-count,0.0616933
motion-count,0.06128165
motion-ratio,0.05821688
acceleration-movement-events-24h,0.053913444
heartrate-min,0.04359507
acceleration-sum,0.043484353
motion-mean,0.04130011
sleep-wakeup-count,0.040170368
sleep-heartrate-min,0.037335414
sleep-total,0.03610915
motion-max,0.034849428
step-mean,0.032600578
heartrate-std,0.031695604
position-duration,0.02497919
sleep-light,0.023910562
step-ratio,0.020335918
heartrate-hours-with-data,0.019491818
